iter	Passed	Remaining
455	941	1122
456	942	1119
457	943	1116
458	944	1113
459	946	1110
460	947	1107
461	948	1104
462	949	1101
463	950	1098
464	951	1095
465	954	1094
466	956	1091
467	957	1088
468	958	1085
469	960	1082
470	961	1079
471	962	1076
472	963	1073
473	964	1070
474	965	1067
475	968	1065
476	970	1064
477	971	1061
478	973	1058
479	974	1055
480	975	1052
481	976	1049
482	977	1046
483	979	1043
484	980	1041
485	982	1039
486	985	1037
487	986	1034
488	987	1032
489	989	1029
490	990	1026
491	991	1023
492	992	1020
493	993	1017
494	994	1015
495	998	1014
496	1000	1012
497	1001	1009
498	1003	1007
499	1004	1004
500	1005	1001
501	1006	998
502	1007	995
503	1009	993
504	1010	990
505	1013	989
506	1015	987
507	1016	984
508	1017	981
509	1019	979
510	1020	976
511	1021	973
512	1022	970
513	1023	968
514	1025	965
515	1027	963
516	1029	961
517	1030	959
518	1032	956
519	1033	954
520	1034	951
521	1035	948
522	1036	945
523	1038	942
524	1039	940
525	1041	938
526	1043	936
527	1045	934
528	1047	932
529	1048	929
530	1049	927
531	1050	924
532	1052	921
533	1053	919
534	1056	917
535	1058	916
536	1060	914
537	1061	911
538	1063	909
539	1064	906
540	1065	904
541	1067	901
542	1068	899
543	1071	898
544	1074	896
545	1075	894
546	1076	891
547	1078	889
548	1079	886
549	1080	884
550	1082	881
551	1083	879
552	1087	879
553	1089	877
554	1091	875
555	1092	872
556	1094	870
557	1095	867
558	1096	865
559	1098	862
560	1100	860
561	1102	858
562	1103	856
563	1105	854
564	1106	851
565	1107	849
566	1108	846
567	1109	844
568	1111	841
569	1112	839
570	1115	838
571	1117	836
572	1119	834
573	1120	831
574	1121	829
575	1122	826
576	1124	824
577	1125	821
578	1126	819
579	1127	816
580	1130	815
581	1133	813
582	1134	811
583	1136	809
584	1137	806
585	1138	804
586	1139	801
587	1140	799
588	1142	797
589	1144	795
590	1146	793
591	1148	791
592	1149	788
593	1150	786
594	1151	784
595	1153	781
596	1154	779
597	1155	776
598	1156	774
599	1158	772
600	1160	770
601	1161	768
602	1163	765
603	1164	763
604	1165	761
605	1166	758
606	1168	756
607	1169	753
608	1170	751
609	1171	749
610	1174	747
611	1176	745
612	1177	743
613	1178	741
614	1180	738
615	1181	736
616	1182	734
617	1183	731
618	1185	729
619	1186	727
620	1189	725
621	1190	723
622	1192	721
623	1193	719
624	1194	716
625	1196	714
626	1197	712
627	1198	709
628	1200	707
629	1202	706
630	1204	704
631	1205	701
632	1206	699
633	1207	697
634	1208	694
635	1210	692
636	1211	690
637	1212	687
638	1213	685
639	1214	683
640	1217	681
641	1219	679
642	1220	677
643	1221	675
644	1222	672
645	1223	670
646	1225	668
647	1226	666
648	1227	663
649	1228	661
650	1229	659
651	1232	657
652	1233	655
653	1234	653
654	1236	651
655	1237	648
656	1238	646
657	1239	644
658	1240	641
659	1241	639
660	1242	637
661	1243	634
662	1245	633
663	1247	631
664	1249	629
665	1250	627
666	1251	624
667	1252	622
668	1253	620
669	1254	618
670	1256	615
671	1257	613
672	1258	611
673	1260	609
674	1262	607
675	1263	605
676	1265	603
677	1266	601
678	1267	599
679	1268	597
680	1269	594
681	1271	592
682	1272	590
683	1273	588
684	1276	586
685	1279	585
686	1280	583
687	1281	581
688	1283	579
689	1284	577
690	1285	574
691	1286	572
692	1288	570
693	1291	569
694	1293	567
695	1295	565
696	1296	563
697	1297	561
698	1299	559
699	1300	557
700	1301	555
701	1302	552
702	1305	551
703	1307	549
704	1308	547
705	1310	545
706	1311	543
707	1312	541
708	1314	539
709	1315	537
710	1316	535
711	1318	533
712	1320	531
713	1323	530
714	1324	527
715	1325	525
716	1326	523
717	1328	521
718	1329	519
719	1330	517
720	1331	515
721	1332	513
722	1334	511
723	1336	509
724	1337	507
725	1339	505
726	1340	503
727	1341	501
728	1342	499
729	1343	496
730	1344	494
731	1346	492
732	1347	490
733	1349	489
734	1351	487
735	1352	485
736	1354	483
737	1355	481
738	1356	479
739	1357	476
740	1358	474
741	1359	472
742	1360	470
743	1362	468
744	1364	467
745	1366	465
746	1368	463
747	1370	461
748	1371	459
749	1372	457
750	1373	455
751	1374	453
752	1375	451
753	1377	449
754	1379	447
755	1381	445
756	1383	444
757	1384	442
758	1386	440
759	1387	438
760	1388	436
761	1389	434
762	1390	432
763	1393	430
764	1395	428
765	1397	426
766	1398	424
767	1399	422
768	1400	420
769	1402	418
770	1403	416
771	1404	414
772	1405	412
773	1406	410
774	1409	409
775	1411	407
776	1413	405
777	1414	403
778	1415	401
779	1416	399
780	1418	397
781	1419	395
782	1420	393
783	1425	392
784	1427	391
785	1429	389
786	1430	387
787	1431	385
788	1433	383
789	1434	381
790	1435	379
791	1437	377
792	1440	376
793	1442	374
794	1443	372
795	1444	370
796	1447	368
797	1448	366
798	1450	364
799	1452	363
800	1454	361
801	1456	359
802	1457	357
803	1458	355
804	1459	353
805	1460	351
806	1462	349
807	1463	347
808	1464	345
809	1465	343
810	1468	342
811	1470	340
812	1471	338
813	1473	336
814	1474	334
815	1475	332
816	1476	330
817	1477	328
818	1479	326
819	1480	325
820	1482	323
821	1483	321
822	1485	319
823	1487	317
824	1488	315
825	1489	313
826	1490	311
827	1491	309
828	1492	307
829	1494	306
830	1495	304
831	1497	302
832	1499	300
833	1501	298
834	1502	296
835	1503	294
836	1504	293
837	1505	291
838	1507	289
839	1508	287
840	1509	285
841	1512	283
842	1514	282
843	1515	280
844	1517	278
845	1518	276
846	1519	274
847	1520	272
848	1522	270
849	1523	268
850	1524	266
851	1526	265
852	1528	263
853	1529	261
854	1531	259
855	1532	257
856	1533	255
857	1535	254
858	1536	252
859	1537	250
860	1538	248
861	1539	246
862	1541	244
863	1543	242
864	1544	241
865	1546	239
866	1547	237
867	1548	235
868	1549	233
869	1551	231
870	1552	229
871	1553	228
872	1555	226
873	1557	224
874	1558	222
875	1560	220
876	1561	218
877	1562	217
878	1563	215
879	1564	213
880	1566	211
881	1567	209
882	1569	207
883	1571	206
884	1573	204
885	1574	202
886	1575	200
887	1576	198
888	1578	197
889	1579	195
890	1580	193
891	1581	191
892	1584	189
893	1586	188
894	1588	186
895	1589	184
896	1591	182
897	1592	180
898	1593	179
899	1594	177
900	1595	175
901	1597	173
902	1601	171
903	1603	170
904	1604	168
905	1606	166
906	1607	164
907	1608	163
908	1610	161
909	1611	159
910	1614	157
911	1615	155
912	1618	154
913	1619	152
914	1620	150
915	1621	148
916	1623	146
917	1624	145
918	1625	143
919	1626	141
920	1628	139
921	1631	137
922	1632	136
923	1633	134
924	1635	132
925	1636	130
926	1637	128
927	1638	127
928	1639	125
929	1640	123
930	1642	121
931	1644	119
932	1646	118
933	1647	116
934	1648	114
935	1650	112
936	1651	111
937	1652	109
938	1653	107
939	1654	105
940	1656	103
941	1658	102
942	1660	100
943	1662	98
944	1663	96
945	1664	95
946	1665	93
947	1666	91
948	1668	89
949	1669	87
950	1670	86
951	1672	84
952	1675	82
953	1676	80
954	1677	79
955	1678	77
956	1679	75
957	1681	73
958	1682	71
959	1683	70
960	1684	68
961	1686	66
962	1687	64
963	1689	63
964	1690	61
965	1691	59
966	1693	57
967	1694	56
968	1695	54
969	1696	52
970	1697	50
971	1698	48
972	1700	47
973	1702	45
974	1704	43
975	1705	41
976	1706	40
977	1707	38
978	1709	36
979	1710	34
980	1711	33
981	1712	31
982	1713	29
983	1716	27
984	1718	26
985	1719	24
986	1720	22
987	1721	20
988	1723	19
989	1724	17
990	1725	15
991	1726	13
992	1728	12
993	1730	10
994	1733	8
995	1734	6
996	1735	5
997	1736	3
998	1738	1
999	1739	0
